period,e4,d4,c4,Nf3,other
Pre-AI,52.0,26.0,3.2,5.6,13.1
Early Post-AI,51.3,27.9,3.4,6.7,10.7
NNUE Era,55.9,27.7,3.9,5.3,7.2
Modern,50.0,33.3,0.0,0.0,16.7
