piece,square,is_white,period,count
K,29,False,early-post-ai,2740
K,21,False,early-post-ai,1534
B,14,False,early-post-ai,2045
Q,18,False,early-post-ai,3146
K,37,False,early-post-ai,5654
K,31,True,early-post-ai,1986
K,39,True,early-post-ai,1344
P,58,True,early-post-ai,542
Q,44,False,early-post-ai,4934
K,43,True,early-post-ai,5021
P,22,False,early-post-ai,3141
P,15,False,early-post-ai,979
R,7,True,early-post-ai,2735
R,10,False,early-post-ai,4486
R,8,False,early-post-ai,4192
P,7,False,early-post-ai,522
K,38,True,early-post-ai,2346
Q,47,False,early-post-ai,1571
K,30,True,early-post-ai,3671
K,3,False,early-post-ai,825
Q,13,False,early-post-ai,2777
B,56,True,early-post-ai,932
K,3,True,early-post-ai,1156
K,17,True,early-post-ai,2503
R,11,False,early-post-ai,4398
B,47,True,early-post-ai,4118
B,13,False,early-post-ai,2002
R,32,True,early-post-ai,2121
R,43,False,early-post-ai,3403
Q,59,False,early-post-ai,4142
Q,4,False,early-post-ai,1721
Q,57,True,early-post-ai,1144
B,58,False,early-post-ai,2335
K,26,False,early-post-ai,5583
P,32,True,early-post-ai,5668
K,28,True,early-post-ai,4225
R,5,False,early-post-ai,2298
P,12,False,early-post-ai,1006
P,4,False,early-post-ai,421
Q,8,False,early-post-ai,2154
R,45,False,early-post-ai,3524
B,0,True,early-post-ai,465
P,21,False,early-post-ai,3771
R,48,False,early-post-ai,2016
P,40,True,early-post-ai,2631
K,57,False,early-post-ai,1194
P,17,False,early-post-ai,3180
B,53,False,early-post-ai,1453
B,4,True,early-post-ai,1060
B,50,False,early-post-ai,2063
Q,54,False,early-post-ai,1713
B,53,True,early-post-ai,2518
R,53,False,early-post-ai,4442
R,57,True,early-post-ai,2083
B,7,False,early-post-ai,410
R,62,True,early-post-ai,1433
P,57,True,early-post-ai,585
P,10,False,early-post-ai,1187
R,46,True,early-post-ai,1855
P,13,False,early-post-ai,1066
K,31,True,early-post-ai,3536
Q,25,False,early-post-ai,3032
R,42,False,early-post-ai,2506
Q,16,False,early-post-ai,1763
Q,61,False,early-post-ai,1582
K,40,False,early-post-ai,1174
R,26,True,early-post-ai,2194
R,32,False,early-post-ai,1821
Q,0,False,early-post-ai,1679
Q,43,True,early-post-ai,2971
K,47,True,early-post-ai,895
K,55,True,early-post-ai,545
R,39,True,early-post-ai,1911
R,63,True,early-post-ai,1829
B,63,False,early-post-ai,434
B,2,True,early-post-ai,2007
R,31,False,early-post-ai,1719
K,53,False,early-post-ai,1443
R,18,True,early-post-ai,2502
B,8,False,early-post-ai,864
B,17,False,early-post-ai,1343
K,55,True,early-post-ai,693
R,43,True,early-post-ai,3722
R,47,True,early-post-ai,1905
B,1,False,early-post-ai,595
R,55,True,early-post-ai,2614
P,11,False,early-post-ai,1128
B,4,False,early-post-ai,700
K,35,True,early-post-ai,2339
K,42,True,early-post-ai,1411
Q,46,False,early-post-ai,3519
Q,14,False,early-post-ai,2531
Q,6,True,early-post-ai,444
K,36,True,early-post-ai,2437
K,45,True,early-post-ai,1608
P,9,False,early-post-ai,1341
K,54,True,early-post-ai,885
P,1,False,early-post-ai,580
K,62,True,early-post-ai,426
K,63,True,early-post-ai,314
Q,48,False,early-post-ai,824
K,26,True,early-post-ai,2931
K,34,True,early-post-ai,2023
K,43,True,early-post-ai,1413
K,51,True,early-post-ai,740
K,59,True,early-post-ai,267
K,58,True,early-post-ai,323
B,40,True,early-post-ai,1947
P,51,True,early-post-ai,1331
P,59,True,early-post-ai,480
R,54,False,early-post-ai,1893
R,46,False,early-post-ai,2144
B,57,False,early-post-ai,600
K,12,False,early-post-ai,2100
K,2,False,early-post-ai,649
K,61,True,early-post-ai,841
K,33,False,early-post-ai,1431
B,60,True,early-post-ai,720
B,56,False,early-post-ai,632
R,45,True,early-post-ai,2615
R,2,False,early-post-ai,2976
P,2,False,early-post-ai,520
K,39,False,early-post-ai,1945
K,33,True,early-post-ai,1635
K,24,True,early-post-ai,982
Q,40,False,early-post-ai,1343
K,4,False,early-post-ai,625
K,25,True,early-post-ai,1887
K,32,True,early-post-ai,823
R,22,True,early-post-ai,2494
P,14,False,early-post-ai,1018
R,42,True,early-post-ai,3029
K,20,False,early-post-ai,1635
K,6,True,early-post-ai,732
P,56,True,early-post-ai,714
K,41,True,early-post-ai,1173
R,40,False,early-post-ai,1811
K,49,True,early-post-ai,798
K,57,True,early-post-ai,342
Q,7,True,early-post-ai,287
B,63,True,early-post-ai,470
K,16,False,early-post-ai,606
R,58,True,early-post-ai,3029
K,30,False,early-post-ai,2299
Q,9,True,early-post-ai,1772
K,1,False,early-post-ai,254
R,18,False,early-post-ai,3246
R,41,False,early-post-ai,1933
K,7,False,early-post-ai,365
Q,20,False,early-post-ai,3047
B,61,False,early-post-ai,3304
R,31,True,early-post-ai,1652
Q,58,False,early-post-ai,2606
Q,13,True,early-post-ai,2943
B,8,True,early-post-ai,997
R,63,False,early-post-ai,2745
K,5,False,early-post-ai,719
K,59,True,early-post-ai,786
B,60,False,early-post-ai,1332
K,6,False,early-post-ai,186
K,60,True,early-post-ai,634
K,49,True,early-post-ai,1035
P,48,True,early-post-ai,1336
B,1,True,early-post-ai,1060
R,17,False,early-post-ai,2501
R,38,False,early-post-ai,1865
K,10,True,early-post-ai,1691
K,61,False,early-post-ai,1946
K,54,False,early-post-ai,799
P,53,True,early-post-ai,1277
P,61,True,early-post-ai,511
K,1,True,early-post-ai,913
K,60,False,early-post-ai,1904
K,50,False,early-post-ai,1859
K,4,True,early-post-ai,1511
K,59,False,early-post-ai,1056
K,23,False,early-post-ai,812
K,14,False,early-post-ai,707
K,7,False,early-post-ai,270
K,15,False,early-post-ai,503
R,39,False,early-post-ai,1568
K,44,True,early-post-ai,1513
K,53,True,early-post-ai,900
P,5,False,early-post-ai,460
K,14,True,early-post-ai,612
K,46,True,early-post-ai,1428
K,48,True,early-post-ai,504
K,56,True,early-post-ai,247
K,39,True,early-post-ai,1443
K,13,True,early-post-ai,1396
K,47,True,early-post-ai,918
B,62,True,early-post-ai,530
K,8,True,early-post-ai,1125
K,8,True,early-post-ai,496
B,5,True,early-post-ai,2725
K,31,False,early-post-ai,1309
Q,14,True,early-post-ai,1592
R,49,False,early-post-ai,2086
Q,15,True,early-post-ai,570
P,3,False,early-post-ai,436
K,52,True,early-post-ai,766
P,6,False,early-post-ai,453
K,49,False,early-post-ai,606
K,62,True,early-post-ai,166
B,15,True,early-post-ai,840
P,60,True,early-post-ai,428
K,48,False,early-post-ai,465
K,5,False,early-post-ai,313
K,0,True,early-post-ai,1003
K,61,True,early-post-ai,358
R,41,True,early-post-ai,2330
K,32,True,early-post-ai,1039
K,55,False,early-post-ai,1088
Q,8,True,early-post-ai,652
K,13,False,early-post-ai,907
K,50,True,early-post-ai,781
B,7,True,early-post-ai,319
K,4,False,early-post-ai,347
K,40,True,early-post-ai,628
K,60,True,early-post-ai,307
B,6,True,early-post-ai,321
K,63,False,early-post-ai,122
K,56,False,early-post-ai,147
B,55,False,early-post-ai,667
B,62,False,early-post-ai,264
Q,62,False,early-post-ai,426
K,2,False,early-post-ai,356
K,1,False,early-post-ai,419
K,3,False,early-post-ai,318
K,6,False,early-post-ai,381
K,22,False,early-post-ai,1468
K,7,True,early-post-ai,107
K,0,False,early-post-ai,336
K,0,True,early-post-ai,92
P,28,True,nnue-era,44532
P,36,False,nnue-era,37176
P,27,True,nnue-era,47553
P,27,False,nnue-era,22635
Q,27,True,nnue-era,7045
B,25,False,nnue-era,10964
Q,25,True,nnue-era,2362
K,42,False,nnue-era,38750
Q,11,True,nnue-era,11084
P,43,False,nnue-era,22401
P,18,True,nnue-era,22771
K,45,False,nnue-era,50478
P,21,True,nnue-era,15572
P,35,False,nnue-era,43112
P,35,True,nnue-era,25525
K,35,False,nnue-era,14384
B,26,True,nnue-era,18350
B,44,False,nnue-era,12855
K,12,True,nnue-era,10202
P,33,False,nnue-era,19686
B,35,True,nnue-era,6022
B,35,False,nnue-era,5166
K,29,True,nnue-era,4808
B,26,False,nnue-era,3152
P,17,True,nnue-era,14466
Q,11,False,nnue-era,2582
B,11,True,nnue-era,9544
K,44,True,nnue-era,4560
P,44,False,nnue-era,26957
K,6,True,nnue-era,39029
K,58,False,nnue-era,7210
P,26,True,nnue-era,25376
P,26,False,nnue-era,10788
K,25,False,nnue-era,6212
R,4,True,nnue-era,25914
P,32,False,nnue-era,13712
R,44,True,nnue-era,3291
K,10,False,nnue-era,2664
R,52,True,nnue-era,4145
K,0,False,nnue-era,785
P,36,True,nnue-era,23227
K,28,False,nnue-era,15624
K,38,False,nnue-era,2189
K,18,True,nnue-era,40485
Q,12,True,nnue-era,12251
P,29,True,nnue-era,19628
K,44,False,nnue-era,3345
K,21,True,nnue-era,51797
B,34,False,nnue-era,12612
B,38,True,nnue-era,16485
K,38,True,nnue-era,9357
Q,38,False,nnue-era,5129
K,28,True,nnue-era,13986
Q,36,False,nnue-era,5456
K,34,True,nnue-era,4540
Q,12,False,nnue-era,2420
B,12,True,nnue-era,13281
K,62,False,nnue-era,38911
K,2,True,nnue-era,8650
B,37,False,nnue-era,11615
P,30,True,nnue-era,16736
B,46,False,nnue-era,3662
R,5,True,nnue-era,8110
R,60,False,nnue-era,22646
R,57,False,nnue-era,10845
K,51,True,nnue-era,2386
R,59,False,nnue-era,19750
B,53,True,nnue-era,2574
B,53,False,nnue-era,1300
P,23,True,nnue-era,18247
B,8,False,nnue-era,780
R,11,True,nnue-era,4852
B,9,True,nnue-era,6465
P,45,False,nnue-era,16242
K,32,False,nnue-era,3547
P,25,False,nnue-era,8750
K,47,False,nnue-era,2745
B,49,False,nnue-era,9610
P,34,False,nnue-era,28395
R,6,True,nnue-era,5978
P,38,False,nnue-era,15048
B,2,True,nnue-era,1669
R,62,False,nnue-era,6260
K,11,True,nnue-era,15785
Q,45,False,nnue-era,9030
K,22,True,nnue-era,4191
R,58,False,nnue-era,16236
K,39,True,nnue-era,1401
Q,29,False,nnue-era,3458
Q,28,False,nnue-era,4198
Q,46,False,nnue-era,3368
B,19,True,nnue-era,17525
R,50,False,nnue-era,3126
P,28,False,nnue-era,14817
B,1,True,nnue-era,921
B,52,False,nnue-era,17382
R,61,False,nnue-era,8234
R,29,True,nnue-era,2633
B,38,False,nnue-era,3385
B,28,True,nnue-era,5983
Q,44,False,nnue-era,4496
R,61,True,nnue-era,2359
K,61,False,nnue-era,9401
Q,7,False,nnue-era,1476
Q,5,True,nnue-era,1263
Q,5,False,nnue-era,1183
K,5,True,nnue-era,8494
R,53,False,nnue-era,4146
K,14,True,nnue-era,11081
R,54,False,nnue-era,1764
B,47,True,nnue-era,4161
K,53,False,nnue-era,11259
B,54,True,nnue-era,2577
K,26,False,nnue-era,5285
K,46,False,nnue-era,5984
R,45,True,nnue-era,2589
K,38,False,nnue-era,3272
K,31,False,nnue-era,1253
Q,3,True,nnue-era,3112
P,47,False,nnue-era,17763
B,45,True,nnue-era,7098
P,16,True,nnue-era,13925
B,18,False,nnue-era,6200
Q,18,False,nnue-era,3180
K,12,True,nnue-era,9396
Q,19,True,nnue-era,8615
Q,0,False,nnue-era,1737
K,57,False,nnue-era,1089
Q,16,False,nnue-era,1766
Q,8,False,nnue-era,2304
P,41,False,nnue-era,13972
P,43,True,nnue-era,4840
B,40,False,nnue-era,3799
P,50,True,nnue-era,1161
B,19,False,nnue-era,3417
K,19,True,nnue-era,5317
K,28,True,nnue-era,3761
K,21,True,nnue-era,7108
Q,35,False,nnue-era,7200
K,13,True,nnue-era,10437
Q,43,False,nnue-era,7251
B,33,True,nnue-era,12310
Q,50,False,nnue-era,9574
P,22,True,nnue-era,18162
R,11,False,nnue-era,4239
K,4,True,nnue-era,3766
K,36,True,nnue-era,17471
K,36,False,nnue-era,14982
Q,39,True,nnue-era,5971
Q,13,False,nnue-era,2849
K,3,True,nnue-era,4450
Q,14,False,nnue-era,2426
Q,21,True,nnue-era,10994
P,31,True,nnue-era,14495
Q,52,False,nnue-era,11135
Q,31,False,nnue-era,4510
K,53,True,nnue-era,3202
K,53,False,nnue-era,1227
Q,53,True,nnue-era,3378
K,63,False,nnue-era,7670
Q,61,True,nnue-era,1398
B,61,False,nnue-era,2914
P,46,False,nnue-era,23670
B,54,False,nnue-era,13573
B,29,True,nnue-era,14706
K,52,False,nnue-era,10797
P,40,False,nnue-era,17190
B,17,True,nnue-era,5725
K,35,True,nnue-era,12934
B,59,True,nnue-era,1007
K,59,False,nnue-era,5071
P,44,True,nnue-era,4560
Q,46,True,nnue-era,2623
Q,38,True,nnue-era,3540
K,60,False,nnue-era,4541
K,43,True,nnue-era,4801
K,51,False,nnue-era,7790
K,52,False,nnue-era,10494
B,20,True,nnue-era,16508
K,30,True,nnue-era,2389
B,30,False,nnue-era,13711
P,42,True,nnue-era,4102
P,42,False,nnue-era,23134
B,42,True,nnue-era,6154
Q,35,True,nnue-era,5135
B,10,False,nnue-era,1479
B,49,True,nnue-era,1788
R,2,True,nnue-era,14749
B,13,True,nnue-era,1703
Q,24,False,nnue-era,1740
R,3,True,nnue-era,21659
Q,43,True,nnue-era,2977
R,49,False,nnue-era,1883
B,34,True,nnue-era,3456
P,21,False,nnue-era,3451
R,21,True,nnue-era,3670
R,33,False,nnue-era,1697
R,27,True,nnue-era,3354
B,27,False,nnue-era,5753
B,27,True,nnue-era,5233
R,9,False,nnue-era,4250
Q,45,True,nnue-era,3189
Q,3,False,nnue-era,2972
Q,30,False,nnue-era,3031
Q,54,True,nnue-era,2831
K,23,True,nnue-era,2236
K,16,True,nnue-era,2668
K,33,True,nnue-era,6923
K,24,True,nnue-era,3191
P,19,True,nnue-era,13422
Q,36,True,nnue-era,4457
B,45,False,nnue-era,7594
Q,47,True,nnue-era,2939
K,43,False,nnue-era,2792
R,45,False,nnue-era,3149
R,44,False,nnue-era,3266
Q,55,True,nnue-era,2422
Q,62,True,nnue-era,1061
Q,58,True,nnue-era,1501
Q,4,False,nnue-era,1767
B,23,False,nnue-era,2784
Q,51,False,nnue-era,9104
P,24,True,nnue-era,13434
P,39,False,nnue-era,13039
K,60,False,nnue-era,1797
K,25,True,nnue-era,1297
P,25,True,nnue-era,16438
B,8,True,nnue-era,981
R,28,True,nnue-era,3566
R,63,False,nnue-era,2694
R,55,False,nnue-era,1093
Q,17,True,nnue-era,6133
R,35,True,nnue-era,3389
R,43,True,nnue-era,3548
R,51,True,nnue-era,4677
Q,17,False,nnue-era,1522
R,49,True,nnue-era,4157
P,37,False,nnue-era,17827
R,48,True,nnue-era,3834
P,31,False,nnue-era,5244
P,29,False,nnue-era,7925
P,32,True,nnue-era,5455
R,6,False,nnue-era,1388
Q,32,False,nnue-era,6243
P,20,True,nnue-era,15111
Q,9,False,nnue-era,3911
R,1,True,nnue-era,9712
B,25,True,nnue-era,2148
R,0,True,nnue-era,3694
K,63,True,nnue-era,587
K,30,False,nnue-era,7609
K,7,True,nnue-era,7643
R,40,True,nnue-era,2545
Q,25,False,nnue-era,3147
R,42,True,nnue-era,2935
R,5,False,nnue-era,2269
K,44,False,nnue-era,6472
K,20,False,nnue-era,3933
Q,27,False,nnue-era,5189
K,5,True,nnue-era,1688
B,21,False,nnue-era,6808
B,47,False,nnue-era,2626
Q,33,True,nnue-era,2961
Q,24,True,nnue-era,4187
Q,10,True,nnue-era,7862
K,27,False,nnue-era,12335
K,21,False,nnue-era,4075
K,4,False,nnue-era,609
Q,4,True,nnue-era,2711
P,33,True,nnue-era,7977
Q,23,False,nnue-era,2208
K,15,True,nnue-era,1171
Q,19,False,nnue-era,2486
B,43,False,nnue-era,12913
P,37,True,nnue-era,9170
P,46,True,nnue-era,3837
B,14,True,nnue-era,8657
K,6,True,nnue-era,646
P,38,True,nnue-era,8112
K,45,True,nnue-era,4749
K,54,False,nnue-era,12311
Q,42,False,nnue-era,4016
Q,60,True,nnue-era,1894
B,29,False,nnue-era,2998
K,42,True,nnue-era,5686
Q,29,True,nnue-era,4161
B,7,False,nnue-era,383
Q,28,True,nnue-era,5392
Q,7,True,nnue-era,313
B,24,True,nnue-era,2768
B,10,True,nnue-era,3088
P,45,True,nnue-era,5076
P,20,False,nnue-era,3005
Q,20,True,nnue-era,5909
R,51,False,nnue-era,4254
B,3,True,nnue-era,1186
R,3,False,nnue-era,4176
B,16,True,nnue-era,2464
K,40,False,nnue-era,3152
K,34,False,nnue-era,6532
P,34,True,nnue-era,10296
B,36,False,nnue-era,6071
K,26,True,nnue-era,5703
B,50,False,nnue-era,1767
B,57,False,nnue-era,560
P,30,False,nnue-era,6850
P,41,True,nnue-era,2802
Q,41,False,nnue-era,8151
Q,56,True,nnue-era,1722
K,39,False,nnue-era,4382
K,29,False,nnue-era,5303
K,23,False,nnue-era,800
K,13,False,nnue-era,2368
R,13,True,nnue-era,3917
B,13,False,nnue-era,1978
Q,13,True,nnue-era,2677
K,37,True,nnue-era,5086
Q,22,True,nnue-era,4234
K,12,False,nnue-era,2099
B,51,False,nnue-era,12001
B,42,False,nnue-era,4828
R,32,False,nnue-era,1831
K,17,True,nnue-era,3479
K,32,True,nnue-era,1010
Q,32,True,nnue-era,1554
Q,50,True,nnue-era,2536
K,15,False,nnue-era,503
Q,59,True,nnue-era,3193
B,60,False,nnue-era,1183
B,39,False,nnue-era,2912
K,48,False,nnue-era,416
Q,57,False,nnue-era,1416
Q,26,True,nnue-era,3987
B,50,True,nnue-era,1515
Q,49,False,nnue-era,2040
K,11,True,nnue-era,7095
B,31,True,nnue-era,3422
Q,60,False,nnue-era,2740
B,37,True,nnue-era,3116
Q,39,False,nnue-era,2371
Q,37,False,nnue-era,3748
K,52,True,nnue-era,2498
K,37,False,nnue-era,3983
K,30,False,nnue-era,2086
K,23,False,nnue-era,734
R,30,True,nnue-era,1741
B,20,False,nnue-era,2912
R,60,True,nnue-era,3958
K,19,False,nnue-era,4497
R,4,False,nnue-era,3647
K,59,True,nnue-era,845
R,13,False,nnue-era,3290
Q,30,True,nnue-era,5611
R,14,False,nnue-era,2546
K,22,False,nnue-era,2078
R,15,False,nnue-era,2207
R,20,False,nnue-era,2559
K,7,False,nnue-era,391
B,0,False,nnue-era,953
K,49,False,nnue-era,550
K,33,False,nnue-era,1308
Q,18,True,nnue-era,3916
B,21,True,nnue-era,5642
B,18,True,nnue-era,3819
B,56,True,nnue-era,874
Q,56,False,nnue-era,949
B,1,False,nnue-era,513
B,61,True,nnue-era,1180
Q,21,False,nnue-era,2897
K,18,True,nnue-era,3423
Q,34,False,nnue-era,4224
Q,26,False,nnue-era,2657
K,9,True,nnue-era,2459
R,10,True,nnue-era,2895
K,17,False,nnue-era,1884
K,1,True,nnue-era,3939
P,24,False,nnue-era,6027
Q,58,False,nnue-era,2451
R,20,True,nnue-era,4072
P,19,False,nnue-era,3388
Q,59,False,nnue-era,4014
K,27,True,nnue-era,15614
K,20,True,nnue-era,3477
K,22,True,nnue-era,6116
K,14,False,nnue-era,665
K,13,True,nnue-era,1143
K,3,True,nnue-era,1119
K,37,False,nnue-era,5266
K,3,False,nnue-era,739
K,9,False,nnue-era,1053
R,36,False,nnue-era,3273
R,37,False,nnue-era,2564
R,38,False,nnue-era,1718
K,50,True,nnue-era,2867
K,56,True,nnue-era,867
K,55,True,nnue-era,626
R,40,False,nnue-era,1750
B,40,True,nnue-era,1745
K,8,False,nnue-era,698
R,34,True,nnue-era,2597
R,58,True,nnue-era,2825
P,14,False,nnue-era,952
P,7,False,nnue-era,530
Q,37,True,nnue-era,3207
K,57,False,nnue-era,2922
R,25,True,nnue-era,1640
K,48,False,nnue-era,1020
R,33,True,nnue-era,1971
K,40,False,nnue-era,926
R,54,True,nnue-era,2783
B,31,False,nnue-era,1648
R,53,True,nnue-era,3516
R,35,False,nnue-era,3151
K,10,True,nnue-era,4238
R,42,False,nnue-era,2346
R,21,False,nnue-era,2304
K,25,True,nnue-era,1636
K,16,True,nnue-era,918
R,19,False,nnue-era,2921
R,41,False,nnue-era,1809
R,17,False,nnue-era,2322
K,8,True,nnue-era,1059
K,32,False,nnue-era,926
R,12,True,nnue-era,4276
K,24,False,nnue-era,775
R,9,True,nnue-era,1604
K,25,False,nnue-era,1457
K,26,False,nnue-era,1834
R,23,False,nnue-era,1622
K,19,False,nnue-era,1266
K,20,False,nnue-era,1259
R,7,False,nnue-era,1613
Q,23,True,nnue-era,1873
B,51,True,nnue-era,2518
K,55,False,nnue-era,7059
K,51,False,nnue-era,19805
B,16,False,nnue-era,1535
R,16,True,nnue-era,1648
P,39,True,nnue-era,6848
R,48,False,nnue-era,1937
R,38,True,nnue-era,1721
P,47,True,nnue-era,2736
R,29,False,nnue-era,2393
K,60,True,nnue-era,654
B,33,False,nnue-era,2847
K,46,True,nnue-era,2175
K,19,True,nnue-era,2833
K,18,False,nnue-era,4679
R,10,False,nnue-era,4363
Q,20,False,nnue-era,2963
R,36,True,nnue-era,3579
K,49,True,nnue-era,992
K,40,True,nnue-era,498
R,34,False,nnue-era,2287
R,26,False,nnue-era,2982
Q,57,True,nnue-era,1123
R,19,True,nnue-era,3639
K,45,False,nnue-era,7373
Q,40,False,nnue-era,1351
Q,40,True,nnue-era,1753
B,32,False,nnue-era,1820
B,41,False,nnue-era,3312
B,28,False,nnue-era,4986
P,18,False,nnue-era,4142
B,22,False,nnue-era,1737
K,36,False,nnue-era,3874
K,35,False,nnue-era,3124
K,34,False,nnue-era,2579
K,43,False,nnue-era,5248
R,8,True,nnue-era,1604
R,31,True,nnue-era,1619
R,55,True,nnue-era,2596
K,47,False,nnue-era,3249
R,14,True,nnue-era,1515
R,62,True,nnue-era,1510
K,39,False,nnue-era,1835
R,22,True,nnue-era,2335
B,46,True,nnue-era,1971
R,37,True,nnue-era,2337
K,41,False,nnue-era,2336
K,26,True,nnue-era,2560
R,32,True,nnue-era,2124
K,34,True,nnue-era,1812
Q,31,True,nnue-era,2759
R,56,False,nnue-era,4002
R,7,True,nnue-era,2633
R,50,True,nnue-era,4216
K,11,False,nnue-era,2108
B,44,True,nnue-era,3501
K,49,False,nnue-era,2241
B,4,False,nnue-era,621
R,46,True,nnue-era,1773
K,37,True,nnue-era,2124
P,16,False,nnue-era,2774
P,8,False,nnue-era,1375
K,50,False,nnue-era,4334
K,45,True,nnue-era,1275
K,44,True,nnue-era,1181
K,43,True,nnue-era,1208
R,24,True,nnue-era,1749
R,41,True,nnue-era,2205
K,35,True,nnue-era,1957
K,29,False,nnue-era,2367
K,27,True,nnue-era,3016
R,47,True,nnue-era,1845
R,39,True,nnue-era,1735
K,33,True,nnue-era,1430
K,41,True,nnue-era,969
K,42,True,nnue-era,1240
R,63,True,nnue-era,1776
K,36,True,nnue-era,2020
K,46,True,nnue-era,1275
B,12,False,nnue-era,2313
B,11,False,nnue-era,2164
B,36,True,nnue-era,5508
Q,2,False,nnue-era,1515
Q,33,False,nnue-era,2374
B,56,False,nnue-era,542
Q,22,False,nnue-era,2168
Q,34,True,nnue-era,2621
K,15,True,nnue-era,7359
Q,42,True,nnue-era,3027
K,54,False,nnue-era,778
R,59,True,nnue-era,4467
R,26,True,nnue-era,2159
R,52,False,nnue-era,4021
B,52,True,nnue-era,2839
R,12,False,nnue-era,3701
P,23,False,nnue-era,2215
P,49,True,nnue-era,1186
P,22,False,nnue-era,2693
P,15,False,nnue-era,999
P,57,True,nnue-era,553
Q,63,True,nnue-era,1788
Q,15,True,nnue-era,565
B,39,True,nnue-era,1433
K,5,False,nnue-era,674
R,27,False,nnue-era,3267
Q,8,True,nnue-era,640
Q,44,True,nnue-era,3295
R,23,True,nnue-era,1730
R,24,False,nnue-era,2231
R,25,False,nnue-era,2192
B,22,True,nnue-era,4645
Q,47,False,nnue-era,1460
Q,10,False,nnue-era,2686
K,42,False,nnue-era,3642
B,15,False,nnue-era,851
Q,6,False,nnue-era,907
K,4,True,nnue-era,1265
B,5,False,nnue-era,1129
B,5,True,nnue-era,2446
P,13,False,nnue-era,955
B,23,True,nnue-era,1947
K,1,True,nnue-era,795
B,6,True,nnue-era,272
K,30,True,nnue-era,3271
Q,15,False,nnue-era,1737
Q,14,True,nnue-era,1419
B,14,False,nnue-era,1780
K,56,False,nnue-era,810
R,1,False,nnue-era,2017
R,2,False,nnue-era,2912
R,18,False,nnue-era,3139
B,9,False,nnue-era,1972
P,55,True,nnue-era,1096
P,63,True,nnue-era,564
Q,63,False,nnue-era,272
K,17,True,nnue-era,2336
B,60,True,nnue-era,627
K,50,False,nnue-era,1626
P,17,False,nnue-era,3149
B,58,True,nnue-era,662
P,10,False,nnue-era,1101
R,31,False,nnue-era,1550
R,18,True,nnue-era,2379
K,20,True,nnue-era,6691
B,30,True,nnue-era,2468
K,22,False,nnue-era,1298
R,17,True,nnue-era,1798
K,13,False,nnue-era,695
K,23,True,nnue-era,3172
K,31,True,nnue-era,1773
R,56,True,nnue-era,2310
B,17,False,nnue-era,1303
P,0,False,nnue-era,754
P,52,True,nnue-era,1172
P,59,True,nnue-era,461
B,63,True,nnue-era,427
Q,51,True,nnue-era,2534
K,54,True,nnue-era,813
K,47,True,nnue-era,904
Q,54,False,nnue-era,1523
R,47,False,nnue-era,1313
R,46,False,nnue-era,1836
R,8,False,nnue-era,4030
K,41,False,nnue-era,4507
K,31,True,nnue-era,3439
B,59,False,nnue-era,1351
Q,49,True,nnue-era,3424
K,8,True,nnue-era,411
R,39,False,nnue-era,1455
K,29,True,nnue-era,3990
R,30,False,nnue-era,1798
K,33,False,nnue-era,1702
K,0,True,nnue-era,886
K,17,False,nnue-era,1070
K,62,False,nnue-era,881
K,28,False,nnue-era,2252
Q,52,True,nnue-era,2589
R,28,False,nnue-era,3235
K,61,False,nnue-era,1660
K,46,False,nnue-era,4107
K,24,False,nnue-era,1108
K,27,False,nnue-era,1985
K,18,False,nnue-era,1200
K,61,True,nnue-era,803
Q,61,False,nnue-era,1500
P,51,True,nnue-era,1267
Q,55,False,nnue-era,490
Q,62,False,nnue-era,433
Q,48,True,nnue-era,2047
B,3,False,nnue-era,888
P,6,False,nnue-era,409
K,9,True,nnue-era,443
R,43,False,nnue-era,2995
P,58,True,nnue-era,522
P,40,True,nnue-era,2560
P,48,True,nnue-era,1356
P,56,True,nnue-era,736
B,24,False,nnue-era,1094
B,6,False,nnue-era,361
R,57,True,nnue-era,1993
K,2,False,nnue-era,627
B,48,False,nnue-era,736
K,32,True,nnue-era,681
K,40,True,nnue-era,550
K,49,True,nnue-era,650
K,58,True,nnue-era,227
K,51,True,nnue-era,528
K,53,True,nnue-era,666
K,54,True,nnue-era,656
K,62,True,nnue-era,291
K,63,True,nnue-era,210
B,55,True,nnue-era,1177
R,16,False,nnue-era,2621
R,0,False,nnue-era,2495
Q,48,False,nnue-era,804
P,11,False,nnue-era,1095
Q,9,True,nnue-era,1601
Q,53,False,nnue-era,2367
K,41,True,nnue-era,1766
B,43,True,nnue-era,3519
Q,1,False,nnue-era,1152
B,48,True,nnue-era,877
P,2,False,nnue-era,479
K,11,False,nnue-era,581
P,12,False,nnue-era,923
P,4,False,nnue-era,405
K,12,False,nnue-era,628
Q,1,True,nnue-era,1121
K,16,False,nnue-era,597
K,8,False,nnue-era,458
Q,0,True,nnue-era,870
K,62,True,nnue-era,180
Q,16,True,nnue-era,1216
K,48,True,nnue-era,714
P,53,True,nnue-era,1264
R,15,True,nnue-era,1077
B,57,True,nnue-era,518
B,4,True,nnue-era,953
K,21,False,nnue-era,1393
K,14,True,nnue-era,543
K,14,False,nnue-era,617
K,15,False,nnue-era,424
K,7,False,nnue-era,201
K,50,True,nnue-era,671
Q,2,True,nnue-era,2074
K,38,True,nnue-era,2132
P,9,False,nnue-era,1252
K,10,True,nnue-era,1355
B,58,False,nnue-era,2099
K,6,False,nnue-era,144
Q,6,True,nnue-era,423
R,22,False,nnue-era,1639
