ld1,ld2,period,elo,acpl,blunder_rate,capture_pct,check_pct,n_moves
1.3084619399257416,1.4476514182251323,early-post-ai,1774,100.31818181818181,0.09090909090909091,0.09090909090909091,0.0,22
-0.7462250995546239,1.8417669470117262,early-post-ai,1339,73.31818181818181,0.13636363636363635,0.13636363636363635,0.0,22
0.4527591889090556,-0.981884699480318,early-post-ai,1241,187.03571428571428,0.21428571428571427,0.25,0.03571428571428571,28
-1.9348312036257285,1.1248869268782602,early-post-ai,1339,111.0,0.21739130434782608,0.30434782608695654,0.2608695652173913,23
0.007595780670761674,0.04882756193324332,early-post-ai,2777,29.6,0.05,0.25,0.06666666666666667,60
-0.018474671376832178,-0.38820293214506474,early-post-ai,1789,16.16,0.0,0.28,0.04,25
0.780297987956928,0.6678457601171691,early-post-ai,1242,47.833333333333336,0.03333333333333333,0.16666666666666666,0.0,30
-0.5068940081746036,0.6294086716203087,early-post-ai,2696,78.32,0.12,0.2,0.0,25
0.6575920219800181,-1.1313043344838938,early-post-ai,1800,69.25490196078431,0.058823529411764705,0.27450980392156865,0.0196078431372549,51
0.11704929037000061,0.5397049019369579,early-post-ai,1123,197.35,0.25,0.25,0.25,20
-1.5353645605322643,0.4314925965181823,early-post-ai,965,69.25,0.14285714285714285,0.2857142857142857,0.10714285714285714,28
0.7492203660510409,0.4396128677587028,early-post-ai,2571,52.54794520547945,0.0684931506849315,0.2054794520547945,0.0958904109589041,73
0.4327758039501412,0.0037560447948066906,early-post-ai,1911,39.27777777777778,0.027777777777777776,0.25,0.08333333333333333,36
1.170636407685187,-2.1204313449101746,early-post-ai,1176,144.23529411764707,0.11764705882352941,0.29411764705882354,0.0,34
-0.29162201214048805,-0.3049062717859606,early-post-ai,1412,141.86111111111111,0.19444444444444445,0.25,0.05555555555555555,36
0.3768051389706464,-1.6578380054699426,early-post-ai,979,240.6,0.28,0.28,0.04,25
0.174758697154713,1.5652706652087198,early-post-ai,2498,37.170212765957444,0.06382978723404255,0.1702127659574468,0.10638297872340426,47
0.33856865189971186,-0.7318688911315699,early-post-ai,2675,19.555555555555557,0.0,0.3111111111111111,0.1111111111111111,45
-0.6011867488017674,-0.6523464182956342,early-post-ai,2343,65.3170731707317,0.0975609756097561,0.3170731707317073,0.0975609756097561,41
-2.3093206643835176,-0.30814984669679846,early-post-ai,2864,159.61290322580646,0.2903225806451613,0.3225806451612903,0.0967741935483871,31
0.21455630742153559,-0.9163113911112313,early-post-ai,924,205.15625,0.25,0.28125,0.125,32
0.2706277268885679,-2.2356773644238754,early-post-ai,1435,157.19354838709677,0.16129032258064516,0.3870967741935484,0.16129032258064516,31
0.37218140337831074,1.2057088726718346,early-post-ai,1513,64.62962962962963,0.07407407407407407,0.18518518518518517,0.1111111111111111,27
0.07464877955936321,-0.47570437496663076,early-post-ai,1806,44.17857142857143,0.03571428571428571,0.2857142857142857,0.07142857142857142,28
-0.15061579044201087,-0.5149610481356871,early-post-ai,1382,95.15789473684211,0.10526315789473684,0.3157894736842105,0.15789473684210525,19
0.08930786402323193,-1.5460408712637672,early-post-ai,917,284.6829268292683,0.36585365853658536,0.2682926829268293,0.04878048780487805,41
