period,e4,d4,c4,Nf3,other
Pre-AI,51.9,27.3,3.4,6.4,11.0
Early Post-AI,51.3,27.9,3.4,6.7,10.7
NNUE Era,55.9,27.7,3.9,5.3,7.2
Modern,56.8,27.4,3.3,5.4,7.1
